Mois	Temp min (°C)	Temp max (°C)	Précipitations (mm)	Ensoleillement (h)
31/01/2007	6,2	10,2	28,0	46,0
28/02/2007	6,2	11,6	79,2	76,4
31/03/2007	5,4	12,3	41,4	145,6
30/04/2007	10,5	21,7	5,2	312,4
31/05/2007	12,0	20,4	102,4	153,5
30/06/2007	14,7	23,0	52,6	146,0
31/07/2007	14,9	23,4	73,5	177,6
31/08/2007	14,5	22,4	159,2	160,5
30/09/2007	12,0	19,9	18,4	155,8
31/10/2007	9,2	15,4	42,0	141,0
30/11/2007	5,5	10,4	28,6	100,2
31/12/2007	2,9	7,3	59,8	99,2
31/01/2008	4,9	9,6	49,2	57,8
29/02/2008	4,1	10,9	32,4	137,7
31/03/2008	5,1	10,9	76,2	84,9
30/04/2008	6,8	14,9	51,4	131,2
31/05/2008	13,3	22,4	66,6	199,8
30/06/2008	14,3	22,7	14,8	151,5
31/07/2008	15,4	25,2	40,0	213,0
31/08/2008	15,4	23,6	94,6	143,2
30/09/2008	11,3	19,8	16,6	184,1
31/10/2008	8,6	15,2	61,1	120,1
30/11/2008	6,0	10,6	50,2	44,5
31/12/2008	2,1	5,8	29,4	49,8
31/01/2009	-0,2	4,8	46,2	78,7
28/02/2009	2,2	7,7	38,0	66,6
31/03/2009	4,8	12,3	31,0	161,1
30/04/2009	9,2	17,8	42,0	162,0
31/05/2009	11,4	20,1	70,6	163,0
30/06/2009	13,6	22,7	57,0	222,3
31/07/2009	15,9	25,5	42,2	193,4
31/08/2009	16,4	27,1	13,0	241,6
30/09/2009	13,4	21,8	24,2	181,8
31/10/2009	9,9	16,8	47,0	113,3
30/11/2009	8,1	12,9	74,0	45,7
31/12/2009	2,4	7,1	71,4	52,1
31/01/2010	0,0	3,8	28,4	46,9
28/02/2010	2,2	7,3	53,6	51,7
31/03/2010	4,8	12,2	44,0	170,1
30/04/2010	7,5	17,7	13,8	240,8
31/05/2010	9,9	18,1	50,1	168,5
30/06/2010	14,7	24,1	42,9	203,0
31/07/2010	17,5	27,2	95,9	224,0
31/08/2010	15,4	23,7	82,8	158,0
30/09/2010	12,2	20,9	59,1	193,5
31/10/2010	9,0	16,2	31,2	150,3
30/11/2010	5,7	9,7	71,3	34,4
31/12/2010	-0,2	3,1	64,3	37,7
31/01/2011	3,4	7,3	52,5	39,3
28/02/2011	4,6	9,6	29,8	38,3
31/03/2011	6,1	14,3	17,0	179,5
30/04/2011	10,7	20,9	9,0	241,8
31/05/2011	11,9	22,7	2,0	280,8
30/06/2011	14,3	23,3	77,2	158,0
31/07/2011	14,1	22,9	64,6	155,0
31/08/2011	15,5	24,5	82,6	186,8
30/09/2011	14,3	23,5	32,3	180,7
31/10/2011	10,6	17,9	30,1	142,2
30/11/2011	7,7	13,1	32,3	78,9
31/12/2011	5,4	10,4	96,2	57,5
31/01/2012	4,9	9,4	24,0	63,3
29/02/2012	0,1	5,8	4,8	116,6
31/03/2012	7,3	15,7	12,0	194,0
30/04/2012	6,4	14,2	63,6	133,9
31/05/2012	11,7	20,8	67,3	212,5
30/06/2012	13,6	21,8	99,5	145,9
31/07/2012	15,1	24,0	70,9	210,4
31/08/2012	16,2	27,2	6,0	249,5
30/09/2012	12,3	21,2	47,5	183,7
31/10/2012	10,1	16,0	86,7	101,8
30/11/2012	6,0	10,3	43,8	38,2
31/12/2012	4,6	9,1	96,4	52,1
31/01/2013	2,4	5,9	42,2	33,3
28/02/2013	1,3	6,0	37,4	64,6
31/03/2013	3,0	8,7	36,6	98,7
30/04/2013	6,9	15,4	29,7	169,4
31/05/2013	9,1	16,7	111,2	114,6
30/06/2013	13,1	21,9	64,0	188,8
31/07/2013	17,5	28,3	47,8	306,4
31/08/2013	15,8	25,7	37,6	252,7
30/09/2013	13,6	21,5	49,5	154,2
31/10/2013	11,7	17,8	43,4	96,5
30/11/2013	5,7	10,0	69,7	43,7
31/12/2013	4,1	9,4	47,2	112,6
31/01/2014	5,3	9,7	55,4	42,5
28/02/2014	5,1	10,8	54,0	81,3
31/03/2014	6,2	15,4	12,4	203,0
30/04/2014	9,1	17,9	43,0	179,4
31/05/2014	10,5	19,2	87,9	206,8
30/06/2014	14,1	23,4	86,0	252,5
31/07/2014	16,5	25,4	98,2	191,1
31/08/2014	14,4	22,7	107,3	162,3
30/09/2014	14,3	23,7	8,2	226,6
31/10/2014	11,9	18,6	48,7	115,7
30/11/2014	8,2	13,0	54,3	73,6
31/12/2014	4,4	7,9	60,8	41,5
31/01/2015	2,9	7,8	36,6	48,4
28/02/2015	2,3	7,6	43,4	99,7
31/03/2015	5,4	12,9	28,3	143,0
30/04/2015	8,5	18,3	56,2	239,4
